series_index,group_tag,query_tag,label_tag,sample_count
197,2,671,42,2015
198,2,412,42,2015
199,2,1027,42,2015
200,2,96,42,2015
201,2,543,42,2015
202,2,490,42,2017
203,2,194,42,2015
204,2,1108,42,2017
205,2,637,42,2015
206,2,987,42,2015
207,2,1073,42,2015
208,2,202,42,2015
209,2,576,42,2015
210,2,370,42,2015
211,2,996,42,2017
212,2,487,42,2015
213,2,789,42,2017
214,2,486,42,2015
215,2,26,42,2010
216,2,153,42,2010
217,2,521,42,2010
218,2,13,42,2015
219,2,679,97,2017
220,2,1021,97,2015
221,2,640,97,2016
222,2,143,97,2017
223,2,39,97,2015
224,2,934,97,2016
225,2,989,97,2016
226,2,1032,97,2016
227,2,565,97,2017
228,2,768,97,2015
229,2,457,97,2016
230,2,206,97,2017
231,2,737,97,2015
232,2,861,97,2016
233,2,928,97,2016
234,2,209,97,2016
235,2,1091,97,2016
236,2,1131,97,2016
237,2,1018,97,2016
238,2,222,97,2016
239,2,907,97,2016
240,2,42,97,2017
241,2,1064,97,2015
242,2,509,97,2017
243,2,1080,97,2015
244,2,674,97,2016
245,2,315,97,2016
246,2,32,97,2016
247,2,296,97,2016
248,2,317,97,2016
249,2,289,97,2016
250,2,875,97,2016
251,2,435,97,2016
252,2,579,97,2016
253,2,517,97,2016
254,2,649,97,2017
255,2,767,97,2015
256,2,622,97,2016
257,2,763,97,2016
258,2,531,97,2016
259,2,893,97,2016
260,2,816,97,2016
261,2,208,97,2016
262,2,953,97,2016
263,2,188,97,2016
264,2,126,97,2016
265,2,735,97,2016
266,2,581,97,2016
267,2,1113,97,2016
268,2,776,97,2016
269,2,160,97,2016
270,2,91,97,2016
271,2,283,97,2016
272,2,7,97,2016
273,2,701,97,2016
274,2,644,97,2016
275,2,751,97,2016
276,2,311,97,2016
277,2,121,97,2016
278,2,29,97,2016
279,2,838,97,2016
280,2,123,97,2016
281,2,803,97,2016
282,2,1035,97,2016
283,2,98,97,2016
284,2,636,97,2017
285,2,713,97,2015
286,2,37,97,2017
287,2,43,97,2015
288,2,694,97,2015
289,2,752,97,2015
290,2,607,97,2015
291,2,1114,97,2015
292,2,692,97,2015
293,2,889,97,2017
294,2,554,97,2015
295,2,643,97,2017
296,2,837,97,2015
297,2,453,97,2017
298,2,572,97,2015
299,2,407,97,2017
300,2,556,97,2015
301,2,828,97,2017
302,2,1068,97,2015
303,2,69,97,2016
304,2,68,97,2016
305,2,27,97,2016
306,2,428,97,2016
307,2,630,97,2016
308,2,578,97,2017
309,2,856,97,2015
310,2,603,97,2017
311,2,129,97,2015
312,2,612,97,2017
313,2,302,97,2015
314,2,812,97,2017
315,2,902,97,2015
316,2,1123,97,2017
317,2,639,97,2015
318,2,631,97,2017
319,2,1017,97,2015
320,2,343,97,2017
321,2,1050,97,2015
322,2,261,97,2016
323,2,947,97,2016
324,2,426,97,2016
325,2,656,97,2016
326,2,168,97,2016
327,2,879,97,2016
328,2,314,97,2016
329,2,460,97,2017
330,2,921,97,2015
331,2,291,97,2017
332,2,266,97,2015
333,2,670,97,2017
334,2,472,97,2015
335,2,1055,97,2016
336,2,399,97,2017
337,2,991,97,2015
338,2,547,97,2016
339,2,118,97,2016
340,2,390,97,2016
341,2,805,97,2017
342,2,760,97,2015
